SKU Code,SAP Code,SAP Name,Category,Model Code,Model Name,UPC Code,HS Code,Release Date,Season,Capacity(Capacity Unit),Collection Name,Color,Material,Size (mm),Net Weight(Weight Unit),Country of Origin,Care Instructions,Line Name,Operational Status,Sales Grade,Design Grade,SAP Price (KRW),Paid Packaging Options,Product Name (ko),Product Name (en),Product Description (ko),Product Description (en),Collection Name (ko),Collection Name (en),Internal Search Keyword (ko),Internal Search Keyword (en),Sales Availability by Channel
B00000090,17000204,CRACKER SPOON-02BR,FLATWARE > SPOON,18000119,CRACKER SPOON,8800294297351,8215991000,2025-09-05,2025,0.000 (),MINI,"Silver,Brown",,45*90*6,26,중국," | KO: 어린이의 손이 닿지 않는 곳에 보관
전자레인지, 식기세척기, 오븐, 인덕션 사용 금지
사용 전 세척, 부드러운 스펀지와 중성세제로 세척 | EN: Store out of reach of children
Do not use in microwave, dishwasher, oven, or on induction cooktops
Wash thoroughly before first use, Use a soft sponge and mild detergent",CRACKER,CONTINUED,3,3.0,24000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",크래커 듀오 세트,Cracker Duo Set,크래커 모티프 핸들이 귀여운 상상력을 자극하는 미니 사이즈 듀오 세트,Cracker Duo Set with Mini-fork with a cracker-motif handle that playfully sparks the imagination,미니,Mini,"포크 나이프 세트, 포크 세트, 나이프 세트, 디너 세트, 식사용 세트","fork knife set, knife set, fork set, dinner set, table set",NUF_Official_KR
B00000089,17000195,WAVE CUTLERY REST-02,TABLE ACCESSORIES > TABLE ACCESSORIES,18000116,WAVE CUTLERY REST,8800294295609,7323930000,2025-09-05,2025,0.000 (),WAVE,Silver,,36*95*11,82,중국," | KO: 식기세척기 및 전자레인지 사용 금지
부드러운 스펀지와 중성세제로 세척, 용도 외 사용 금지 | EN: Not dishwasher safe, Not microwave safe
Use a soft sponge and mild detergent, Use only for its intended use",WAVE,CONTINUED,2,2.0,18000,"S16000232:NUF 2025 SHOPPING BAG (M), S16000241:NUF 2025 WARE GIFT BOX (M)",웨이브 레스트 2P 세트,Wave Rest 2P Set,입체적인 웨이브 패턴이 돋보이는 커트러리 레스트 세트,Cutlery rest in stainless steel with a sculptural wave pattern,웨이브,Wave,"커트러리 레스트, 숟가락 받침, 수저 받침, 포크 받침, 나이프 받침, 식기 레스트, 테이블 레스트","cutlery rest,spoon rest, fork rest,  knife rest, table rest, flatware rest",NUF_Official_KR
B00000088,17000208,RING DESSERT FORK-02,FLATWARE > FORK,18000123,RING DESSERT FORK,8800294297856,8215992000,2025-09-05,2025,0.000 (),FASHION,Silver,,23*141*3,35,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",RING,CONTINUED,2,2.0,28000,,링 디저트 세트,Ring Dessert Set,유기적인 원형 체인이 우아한 매력을 더하는 링 디저트 세트,Elegant ring chain dessert cutlery,링,Ring,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000088,17000209,RING DESSERT SPOON-02,FLATWARE > SPOON,18000124,RING DESSERT SPOON,8800294297863,8215991000,2025-09-05,2025,0.000 (),FASHION,Silver,,31*141*3,41,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",RING,CONTINUED,2,2.0,28000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",링 디저트 세트,Ring Dessert Set,유기적인 원형 체인이 우아한 매력을 더하는 링 디저트 세트,Elegant ring chain dessert cutlery,링,Ring,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000087,17000028,DOT DESSERT SPOON-02BK,FLATWARE > SPOON,18000015,DOT DESSERT SPOON,8809907775583,8215991000,2025-09-05,2025,0.000 (),PATTERN,"Silver,Black",,29*130*3,30,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,1,1.0,18000,,닷 디저트 세트,Dot Dessert Set,강렬한 블랙 도트 패턴이 인상적인 닷 디저트 세트,Dot Dessert Set with a bold black dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000087,17000026,DOT DESSERT FORK-02BK,FLATWARE > FORK,18000012,DOT DESSERT FORK,8809907775569,8215992000,2025-09-05,2025,0.000 (),PATTERN,"Silver,Black",,20*130*3,27,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,1,1.0,18000,,닷 디저트 세트,Dot Dessert Set,강렬한 블랙 도트 패턴이 인상적인 닷 디저트 세트,Dot Dessert Set with a bold black dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000087,17000092,DOT BUTTER KNIFE-02BK,FLATWARE > KNIFE,18000052,DOT BUTTER KNIFE,8809907775545,8215999000,2025-09-05,2025,0.000 (),PATTERN,"Silver,Black",,13*133*5,40,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,1,1.0,18000,,닷 디저트 세트,Dot Dessert Set,강렬한 블랙 도트 패턴이 인상적인 닷 디저트 세트,Dot Dessert Set with a bold black dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000086,17000034,DOT SPOON-02BK,FLATWARE > SPOON,18000014,DOT SPOON,8809907775644,8215991000,2025-09-05,2025,0.000 (),PATTERN,"Silver,Black",,40*180*3,55,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,1,1.0,23000,,닷 듀오 세트,Dot Duo Set,강렬한 블랙 도트 패턴이 인상적인 닷 듀오 세트,Dot Duo Set with a bold black dot pattern,닷,Dot,"포크 나이프 세트, 포크 세트, 나이프 세트, 디너 세트, 식사용 세트","fork knife set, knife set, fork set, dinner set, table set",NUF_Official_KR
B00000086,17000030,DOT FORK-02BK,FLATWARE > FORK,18000011,DOT FORK,8809907775606,8215992000,2025-09-05,2025,0.000 (),PATTERN,"Silver,Black",,27*179*3,46,중국," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,1,1.0,23000,,닷 듀오 세트,Dot Duo Set,강렬한 블랙 도트 패턴이 인상적인 닷 듀오 세트,Dot Duo Set with a bold black dot pattern,닷,Dot,"포크 나이프 세트, 포크 세트, 나이프 세트, 디너 세트, 식사용 세트","fork knife set, knife set, fork set, dinner set, table set",NUF_Official_KR
B00000085,17000217,DOT SPOON-01WH,FLATWARE > SPOON,18000014,DOT SPOON,8800338256917,8215991000,2025-12-22,2025,0.000 (),PATTERN,01WH,,40*180*3,55,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,23000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 디너 세트 블랙,Dot Dinner Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 디너 세트 블랙,Dot Dinner Set Black with a Bold black and white dot pattern,닷,Dot,"디너 커트러리 세트, 커트러리 세트, 테이블 세트, 식사용 커트러리 세트","dinner cutlery set, cutlery set, flatware set, dinner flatware set, dining cutlery set",NUF_Official_KR
B00000085,17000218,DOT FORK-01WH,FLATWARE > FORK,18000011,DOT FORK,8800338256900,8215992000,2025-12-22,2025,0.000 (),PATTERN,01WH,,27*179*3,46,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,23000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 디너 세트 블랙,Dot Dinner Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 디너 세트 블랙,Dot Dinner Set Black with a Bold black and white dot pattern,닷,Dot,"디너 커트러리 세트, 커트러리 세트, 테이블 세트, 식사용 커트러리 세트","dinner cutlery set, cutlery set, flatware set, dinner flatware set, dining cutlery set",NUF_Official_KR
B00000085,17000219,DOT KNIFE-01WH,FLATWARE > KNIFE,18000013,DOT KNIFE,8800338256924,8211910000,2025-12-22,2025,0.000 (),PATTERN,01WH,,17*184*8,80,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,23000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 디너 세트 블랙,Dot Dinner Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 디너 세트 블랙,Dot Dinner Set Black with a Bold black and white dot pattern,닷,Dot,"디너 커트러리 세트, 커트러리 세트, 테이블 세트, 식사용 커트러리 세트","dinner cutlery set, cutlery set, flatware set, dinner flatware set, dining cutlery set",NUF_Official_KR
B00000084,17000221,DOT DESSERT SPOON-01WH,FLATWARE > SPOON,18000015,DOT DESSERT SPOON,8800338256948,8215991000,2025-12-22,2025,0.000 (),PATTERN,01WH,,29*130*3,30,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,18000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 디저트 세트 블랙,Dot Dessert Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 디저트 세트 블랙,Dot Dessert Set Black with a Bold black and white dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000084,17000220,DOT DESSERT FORK-01WH,FLATWARE > FORK,18000012,DOT DESSERT FORK,8800338256931,8215992000,2025-12-22,2025,0.000 (),PATTERN,01WH,,20*130*3,27,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,18000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 디저트 세트 블랙,Dot Dessert Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 디저트 세트 블랙,Dot Dessert Set Black with a Bold black and white dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000084,17000222,DOT BUTTER KNIFE-01WH,FLATWARE > KNIFE,18000052,DOT BUTTER KNIFE,8800338256955,8215999000,2025-12-22,2025,0.000 (),PATTERN,01WH,,13*133*5,40,," | KO: 사용 전 반드시 세척, 식기세척기 사용 금지
부드러운 스펀지와 중성세제로 세척, 전자레인지 사용 금지 | EN: Wash thoroughly before first use, Not dishwasher safe
Use a soft sponge and mild detergent, Not microwave safe",DOT,CONTINUED,,1.0,18000,"S16000231:NUF 2025 SHOPPING BAG (S), S16000235:NUF 2025 CUTLERY GIFT BOX (1)",닷 디저트 세트 블랙,Dot Dessert Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 닷 디저트 세트 블랙,Dot Dessert Set Black with a Bold black and white dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000083,17000027,DOT DESSERT FORK-BLACK,FLATWARE > FORK,18000012,DOT DESSERT FORK,8809907775576,,,,0.000 (),,BLACK,,20*130*3,27,중국,,,CONTINUED,,,,,닷 디저트 세트 블랙,Dot Dessert Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 블랙 닷 디저트 세트,Black Dot Dessert Set with a Bold black and white dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000083,17000029,DOT DESSERT SPOON-BLACK,FLATWARE > SPOON,18000015,DOT DESSERT SPOON,8809907775590,,,,0.000 (),,BLACK,,29*130*3,30,중국,,,CONTINUED,,,,,닷 디저트 세트 블랙,Dot Dessert Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 블랙 닷 디저트 세트,Black Dot Dessert Set with a Bold black and white dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000083,17000093,DOT BUTTER KNIFE-BLACK,FLATWARE > KNIFE,18000052,DOT BUTTER KNIFE,8809907775552,,,,0.000 (),,BLACK,,13*133*5,40,중국,,,CONTINUED,,,,,닷 디저트 세트 블랙,Dot Dessert Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 블랙 닷 디저트 세트,Black Dot Dessert Set with a Bold black and white dot pattern,닷,Dot,"스푼 포크 세트, 디저트 스푼 포크 세트, 디저트 스푼 세트, 디저트 포크 세트, 미니 세트","spoon fork set, dessert spoon fork set, dessert spoon set, dessert fork set, mini set",NUF_Official_KR
B00000082,17000035,DOT SPOON-BLACK,FLATWARE > SPOON,18000014,DOT SPOON,8809907775651,,,,0.000 (),,BLACK,,40*180*3,55,중국,,,CONTINUED,,,,,닷 디너 세트 블랙,Dot Dinner Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 블랙 닷 디너 세트,Black Dot Dinner Set with a Bold black and white dot pattern,닷,Dot,"디너 커트러리 세트, 커트러리 세트, 테이블 세트, 식사용 커트러리 세트","dinner cutlery set, cutlery set, flatware set, dinner flatware set, dining cutlery set",NUF_Official_KR
B00000082,17000031,DOT FORK-BLACK,FLATWARE > FORK,18000011,DOT FORK,8809907775613,,,,0.000 (),,BLACK,,27*179*3,46,중국,,,CONTINUED,,,,,닷 디너 세트 블랙,Dot Dinner Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 블랙 닷 디너 세트,Black Dot Dinner Set with a Bold black and white dot pattern,닷,Dot,"디너 커트러리 세트, 커트러리 세트, 테이블 세트, 식사용 커트러리 세트","dinner cutlery set, cutlery set, flatware set, dinner flatware set, dining cutlery set",NUF_Official_KR
B00000082,17000033,DOT KNIFE-BLACK,FLATWARE > KNIFE,18000013,DOT KNIFE,8809907775637,,,,0.000 (),,BLACK,,17*184*8,80,중국,,,CONTINUED,,,,,닷 디너 세트 블랙,Dot Dinner Set Black,강렬한 블랙과 화이트 도트 패턴의 대비가 인상적인 블랙 닷 디너 세트,Black Dot Dinner Set with a Bold black and white dot pattern,닷,Dot,"디너 커트러리 세트, 커트러리 세트, 테이블 세트, 식사용 커트러리 세트","dinner cutlery set, cutlery set, flatware set, dinner flatware set, dining cutlery set",NUF_Official_KR
